variable,n,moran_I,z_perm,p_perm,permutations
prop_2024,102,0.11469435087663511,1.9368513226478352,0.029,999
prop_2025,102,0.09670461561606017,1.7597882988954403,0.048,999
delta_2025_2024,102,0.03533695214777852,0.8145244387614623,0.2,999
