year,x,n,p_hat,ci95_lo,ci95_hi,comparison,z_stat,p_value,delta_p_hat
2024,36831,449323,0.08196998595665034,0.08116789312223024,0.08277207879107043,2025 vs 2024,2.7920297812612263,0.005237853503220036,0.0016401997354960202
2025,36039,431036,0.08361018569214636,0.0827838413844799,0.08443652999981281,2025 vs 2024,2.7920297812612263,0.005237853503220036,0.0016401997354960202
