threshold,precision,recall,f1,f2
0.52,0.17079121645172535,0.6652185718164539,0.27179942311959177,0.4212951817587784
0.51,0.16546242774566475,0.6839532989410806,0.26646215687311575,0.4204499933235412
0.54,0.18210976478973628,0.6243551452620146,0.28197424892703865,0.420245623012537
0.5,0.16093953892996954,0.7032310616345371,0.2619336569579288,0.42011354420113545
0.53,0.17585068091580391,0.6433613901710562,0.27620574092962263,0.4200272986722918
0.49,0.15662757116756057,0.7215585120825414,0.2573849878934625,0.41917726111233794
0.48000000000000004,0.15206574607256668,0.7385283736084713,0.2522021325915624,0.4169349152334529
0.55,0.18708476154204223,0.6001900624490905,0.2852534116204794,0.41632922120727
0.47000000000000003,0.14765047097014528,0.7533260928590823,0.2469075375990033,0.4138203621394267
0.56,0.19286754002911208,0.5756177029595438,0.2889267461669506,0.412066552635671
0.46,0.1437324353748386,0.7707032310616345,0.24228069052344067,0.4116094604196575
0.45,0.14055711113256736,0.7905240293239207,0.23867688650243882,0.4106951419059979
0.44,0.1374881615116306,0.8080369264186804,0.2349922024596798,0.40904405195519206
0.43,0.1350423184295653,0.8274504480043443,0.2321904761904762,0.4085230167028607
0.42000000000000004,0.13200765631646108,0.8426554439315775,0.22825727209208252,0.40577114167669054
0.5700000000000001,0.1976298190401259,0.5456149877816997,0.29015955526676773,0.4035140562248996
0.41000000000000003,0.12912183269698022,0.8585392343198479,0.22448218944678133,0.4031055187975676
0.4,0.1262258032819102,0.8719793646483844,0.22052840294587217,0.3996938356420117
0.5800000000000001,0.20380536161594628,0.519142003801249,0.2927015959278962,0.39645841541045473
0.39,0.12319623793541536,0.882025522671735,0.2161955310051079,0.39518983953966497
0.38,0.12031149793861658,0.8913928862340483,0.21200820135290033,0.3906519592094147
0.37,0.11795344222797009,0.9038827043171328,0.20867548423494015,0.38749854498894193
0.59,0.20987726135768717,0.489818083084442,0.2938469682778841,0.3866680955953274
0.36000000000000004,0.1155105329013901,0.9148791745859354,0.20512274186920723,0.38374807812766926
0.35000000000000003,0.1129267726201931,0.9241107792560412,0.2012595352137662,0.3792538610683961
0.6,0.21718270214943705,0.4609014390442574,0.29524306461431427,0.37641919460706047
0.34,0.11063562798629321,0.933613901710562,0.19782811938151745,0.37528786440086004
0.33,0.10834752448950896,0.9414879174585935,0.19433118966555982,0.3709706753966471
0.32,0.10609261257427699,0.9477328265001358,0.19082373201033254,0.3663989922846796
0.61,0.2231381667018953,0.42994841162096115,0.2937984136555499,0.3627138832260577
0.31,0.103821985658313,0.9532989410806407,0.18725083665551126,0.36158971771079
0.3,0.10183252479594627,0.9603584034754277,0.18413962750380697,0.357521909209449
0.29000000000000004,0.10000702395167521,0.9664675536247624,0.18125803618031597,0.3536547804747191
0.62,0.23206850498860868,0.4010317675807765,0.29400348345359545,0.35005806650392246
0.28,0.09810191729684477,0.9704045614987782,0.17818993132159194,0.34927243054130386
0.27,0.09641984261273602,0.9747488460494163,0.17548147423990615,0.34542480515731744
0.26,0.09490570013697187,0.9782785772468097,0.17302566811535044,0.3418665553362684
0.25,0.0934479193590075,0.9816725495519957,0.1706511221768579,0.33839055070944557
0.24000000000000002,0.09211010571468457,0.9853380396415965,0.16847138562956257,0.3352084314757854
0.63,0.24091592255326674,0.36994298126527286,0.29180275204797346,0.3341508277130595
0.23,0.09092271943632411,0.9880532174857453,0.16652175902622066,0.3322984202355949
0.22,0.08972922387361318,0.9892750475156122,0.16453481151992053,0.3292071380167156
0.21000000000000002,0.08871447836810069,0.9913114308987239,0.16285475327571788,0.3266441806160701
0.2,0.08781828877390542,0.9930762964974206,0.16136681998169045,0.32435859916105747
0.19,0.08695961995249406,0.9940266087428726,0.1599283576873512,0.3220896677927928
0.18000000000000002,0.08616980000705443,0.9949769209883247,0.15860375031108323,0.31999615777570145
0.17,0.08555071010470838,0.9960629921259843,0.1575680783437849,0.31837432523909537
0.16,0.08499160733923714,0.9967417865870214,0.1566276626382652,0.3168780049892532
0.64,0.24880191693290735,0.3383111593809395,0.2867334023702681,0.31560283687943264
0.15000000000000002,0.08449554469675194,0.9976920988324736,0.15579652537072958,0.31557296094951004
0.14,0.08399040109701748,0.997827857724681,0.1549390783759855,0.3141723801870501
0.13,0.08359284431614121,0.9985066521857182,0.1542704924909808,0.3131119625372499
0.12,0.08322305543302455,0.9989139288623404,0.15364537111475376,0.3121049907954902
0.11,0.08293139199423008,0.9990496877545479,0.15314977836049198,0.31129441624365484
0.09999999999999999,0.08268371037674387,0.9993212055389628,0.15273051705535728,0.31061692969870874
0.09,0.08244490234724959,0.9994569644311703,0.15232459498044734,0.3099528460761199
0.08,0.08227381404598574,0.9997284822155851,0.15203567594351308,0.3094897873413466
0.06999999999999999,0.08215174198730463,0.9997284822155851,0.15182722540075255,0.3091441861246148
0.060000000000000005,0.08206659831498239,0.9997284822155851,0.15168180601042247,0.308902983321588
0.05,0.08200719400425403,0.9997284822155851,0.15158033407778682,0.30873462405983515
0.04,0.08198089895144593,0.9998642411077926,0.15153697378708694,0.3086704330187256
0.03,0.08197378085423669,1.0,0.1515263720891961,0.30866059905130655
0.02,0.08196921981238108,1.0,0.15151857984757633,0.30864766565823326
0.01,0.08196739553775106,1.0,0.15151546317532474,0.30864249260448007
0.65,0.25866605651527286,0.3069508552810209,0.28074750108648416,0.2959036775291192
0.66,0.26788053445113963,0.27762693456421395,0.27266666666666667,0.275621327295272
0.67,0.2764615384615385,0.24395872929676893,0.2591951536131545,0.24983316649983317
0.68,0.28963636363636364,0.21626391528645125,0.24762941085030313,0.2278057430499943
0.6900000000000001,0.30540077153879125,0.1934564213956014,0.23686835106382978,0.2087606211544096
0.7000000000000001,0.3177570093457944,0.170784686396959,0.22216335540838852,0.18819375878885797
0.7100000000000001,0.3351564873898511,0.14974205810480587,0.207000093835038,0.1683712410319035
0.72,0.3558640847643405,0.13222916101004617,0.19281401563891915,0.15123753920685692
0.73,0.37231712658782307,0.11539505837632365,0.17618406052440666,0.13387091693703343
0.74,0.38514588859416443,0.09856095574260114,0.15695600475624258,0.11579316724616415
0.75,0.4052805280528053,0.0833559598153679,0.13827271703636979,0.09909938990929339
0.76,0.43045267489711936,0.07100190062449091,0.12189721477683253,0.08523745884807198
0.77,0.45071868583162217,0.05959815367906598,0.1052757793764988,0.07211380511203101
0.78,0.4565499351491569,0.047787130057018734,0.08651837286469215,0.058210682983297506
0.79,0.4793388429752066,0.03937007874015748,0.07276376866139757,0.0482224217632778
0.8,0.5257510729613734,0.0332609285908227,0.06256384065372829,0.040928833945873704
0.81,0.5340599455040872,0.02660874287265816,0.050691840165524374,0.032851731420334554
0.8200000000000001,0.5348837209302325,0.021857181645397773,0.04199817399243511,0.027045187300520745
0.8300000000000001,0.5339366515837104,0.01601954928047787,0.03110583893502043,0.019875357924877886
0.8400000000000001,0.536144578313253,0.012082541406462123,0.023632501327668615,0.015018562267971651
0.85,0.5609756097560976,0.009367363562313331,0.018427026305247698,0.011660526582620746
0.86,0.5844155844155844,0.006109150149334781,0.012091898428053204,0.007616532954199249
0.87,0.7073170731707317,0.003937007874015748,0.007830430673687053,0.0049144212845280465
0.88,0.8333333333333334,0.0027151778441487917,0.005412719891745603,0.003391209983722192
0.89,0.8666666666666667,0.0017648655986967146,0.003522557918981168,0.00220495946266834
0.9,1.0,0.0006787944610371979,0.00135666802333469,0.0008483491126268282
0.91,1.0,0.00013575889220743959,0.00027148092846477533,0.00016969285593076533
0.92,0.0,0.0,0.0,0.0
0.93,0.0,0.0,0.0,0.0
0.9400000000000001,0.0,0.0,0.0,0.0
0.9500000000000001,0.0,0.0,0.0,0.0
0.9600000000000001,0.0,0.0,0.0,0.0
0.97,0.0,0.0,0.0,0.0
0.98,0.0,0.0,0.0,0.0
0.99,0.0,0.0,0.0,0.0
