threshold,precision,recall,f1,f2
0.5,0.17928870292887028,0.6980722237306544,0.28530211396548855,0.4421780407264722
0.49,0.17383399993389084,0.7139560141189248,0.2795927589781759,0.44032687509419427
0.51,0.18356488323972805,0.6744501764865599,0.2885855358698809,0.4394282479479196
0.47000000000000003,0.16501640322099612,0.7511539505837632,0.27058881064162754,0.4391688097279106
0.48000000000000004,0.16883198393271825,0.7303828400760249,0.27426590538336054,0.43861079406489484
0.46,0.16079032532788282,0.7689383654629378,0.2659654395191585,0.4377801824084093
0.52,0.1885287762718523,0.6515069237035026,0.29243472167210016,0.4369161856552377
0.45,0.15633707561206547,0.7845506380667934,0.26072048904829576,0.4349756883288925
0.53,0.19407605739865288,0.6297855009503123,0.29671559691707444,0.43463188862030844
0.54,0.20022306491188935,0.6092859082269889,0.30140022161781,0.4325449603885965
0.44,0.1522548613984278,0.7993483573174043,0.2557886962943655,0.43207702242573676
0.43,0.1480932255752453,0.813467282106978,0.25056976185000107,0.42845906328208794
0.55,0.20567172729876826,0.5848493076296497,0.30432325515682396,0.42729617139456455
0.42000000000000004,0.14449459976839268,0.8300298669562857,0.2461402202137724,0.4259024478593421
0.41000000000000003,0.1412764992631221,0.845913657344556,0.24211692020749548,0.4234799983688782
0.56,0.21171770972037285,0.5612272603855553,0.3074520303435966,0.4219228413962033
0.4,0.13785743842149967,0.8593537876730926,0.23759923427734925,0.4198670752576909
0.39,0.1345565749235474,0.872115123540592,0.233142193510924,0.4160298422402404
0.5700000000000001,0.21749669457910975,0.5359761064349715,0.3094286386080414,0.4145665322580645
0.38,0.13123375445807894,0.884197664947054,0.22854636371611545,0.4117304944811804
0.37,0.12817177580616979,0.8962802063535161,0.22427176220806794,0.4076667531152359
0.5800000000000001,0.22437310143546368,0.5114037469454249,0.31190229766093974,0.4072168291786479
0.36000000000000004,0.1249812734082397,0.9060548465924518,0.21966231116084653,0.40270805174744156
0.59,0.23188123946583689,0.4856095574260114,0.31388206388206386,0.3984183559812876
0.35000000000000003,0.12188596015475286,0.9152864512625577,0.2151244416081685,0.3976267427870438
0.34,0.11887353507084135,0.9226174314417595,0.2106111317714144,0.3922247616409262
0.6,0.24093135515013842,0.46076568015204994,0.3164126229431781,0.38965810199536177
0.33,0.11615690926035753,0.9306272060819983,0.20653500248565101,0.3873800562845421
0.32,0.11360647112981717,0.9380939451534075,0.20266901305176713,0.3826643629275208
0.31,0.11127795527156549,0.9456964431170242,0.19912528942629276,0.3783237747653806
0.61,0.24792936396311924,0.4307629649742058,0.31471930172584806,0.3753963371350149
0.3,0.1090250687720498,0.9523486288351887,0.19565187075541424,0.37390599848625367
0.29000000000000004,0.10692052528740856,0.958322020092316,0.1923773965416218,0.36963921034717495
0.28,0.10485479937929505,0.9632093402117838,0.18912182964374724,0.3652359233596557
0.27,0.10297304325214528,0.9676893836546294,0.18613882070298218,0.36114545122915104
0.62,0.25588235294117645,0.4015748031496063,0.31258586072070166,0.3605206708268331
0.26,0.10115043247215784,0.9716263915286452,0.18322623588745807,0.35706445819197763
0.25,0.09945332502940973,0.9755633994026609,0.18050514311550972,0.35322801049951336
0.24000000000000002,0.09788359788359788,0.9795004072766766,0.17798115348561844,0.34965204411964257
0.23,0.09635104541217206,0.9822155851208254,0.17548753274473658,0.3459934579260478
0.63,0.264271225731672,0.3714363290795547,0.30882103956205204,0.34357184117336814
0.22,0.09491019531863644,0.984251968503937,0.17312605965088235,0.34245928277217247
0.21000000000000002,0.0937016802391506,0.9872386641325007,0.17115823663708898,0.339584578601315
0.2,0.09246214573100306,0.9890035297311974,0.16911380651151994,0.33648028230164523
0.19,0.09136426792174142,0.9909041542221015,0.1673027333677153,0.33373569998079616
0.18000000000000002,0.0902589060724344,0.9919902253597611,0.1654627386155205,0.33087303024814346
0.17,0.08926741178193177,0.993212055389628,0.16381182687355858,0.3283073056901813
0.16,0.08842346692419122,0.994433885419495,0.16240604837815667,0.32612373557486823
0.64,0.2742813588850174,0.3419766494705403,0.3044108761329305,0.32589008486855725
0.15000000000000002,0.08757362516576862,0.9951126798805322,0.16098037708500335,0.32386338532231695
0.14,0.0868463733115507,0.9959272332337769,0.1597613162450864,0.32193794707508666
0.13,0.08616745462864114,0.9971490632636437,0.1586273175893831,0.3201691295061244
0.12,0.08548360827380815,0.997556339940266,0.15747289014615748,0.318310200828265
0.11,0.08484316938629492,0.9980993755090959,0.15639225696660286,0.3165745190237517
0.09999999999999999,0.0842380101690257,0.9986424110779256,0.15537015524342593,0.31492961605644415
0.09,0.08366977902625983,0.998778169970133,0.15440474316595834,0.3133491775489169
0.08,0.08319952961396684,0.9989139288623404,0.15360527744144295,0.31203881189462435
0.06999999999999999,0.08279882069632931,0.9989139288623404,0.1529221049131266,0.3109101664835629
0.060000000000000005,0.08249733789161015,0.9991854466467553,0.15241092968596306,0.31008013212109975
0.05,0.08225330711476582,0.9994569644311703,0.15199752245277176,0.30941093403268105
0.04,0.08207740669728453,0.9995927233233777,0.15169870408142241,0.3089232370019803
