cd_ibge,prob_risco,y_true
2705804,0.017786080880790547,0
2705804,0.019801183970135677,0
2705804,0.020883833475424374,0
2705804,0.011057046214825691,0
2705804,0.010716887046265418,0
2707107,0.01993702465978708,0
2707107,0.052462586799132196,0
2700201,0.009451645087464279,0
2700201,0.006670070713404016,0
2700201,0.2703462774445822,1
2700201,0.21409622595749067,1
2700201,0.03146183320973606,0
2700201,0.018744211000525,0
2701209,0.013004985403148085,0
2701209,0.014319967819354198,0
2701209,0.015526679368933476,0
2701209,0.021131458213087616,0
2701209,0.017427387478337532,0
2701209,0.015078468051776603,0
2701209,0.024448462995560208,0
2701209,0.03305665910059886,0
2701209,0.03588638482743686,0
2701209,0.03363438839851651,0
2701209,0.03170281479300148,0
2701209,0.024077616378373978,0
2701209,0.029806554243383007,0
2701209,0.017774706151149355,0
2701209,0.030884845920598723,0
2701209,0.018774537923304257,0
2701209,0.029139044171367718,0
2707701,0.03736546042498985,0
2707701,0.023677031393240892,0
2707701,0.02359268997403927,0
2707701,0.1209072980498403,0
2700300,0.04947918417392289,0
2700300,0.027251396619440118,0
2700300,0.048418758224454427,0
2700300,0.016090465907781563,0
2708006,0.016252134951205983,0
2708006,0.0041352555160682255,0
2708006,0.01095885209077101,0
2708006,0.011117339254027083,0
2708006,0.002766707224153371,0
2708006,0.013076922147024788,0
2705705,0.15705870204553032,1
2705705,0.1776800373417074,1
2705705,0.21295153068939163,1
2705804,0.05293340773664017,0
2705804,0.1393371300051271,0
2705804,0.0573248155398819,0
2705804,0.10937071005103059,0
2705804,0.03314782187082417,0
2708956,0.01842612017827159,0
2708956,0.02478100822041103,0
2708956,0.04172130839267114,0
2708956,0.039158804505497684,0
2704708,0.0705157874907883,0
2706109,0.01830493341976554,0
2706109,0.024534588885847693,0
2706109,0.03825634443348488,0
2706109,0.031491561210787,0
2706109,0.29843326915065416,1
2706109,0.2604678020104197,1
2706109,0.19576015893964896,1
2706109,0.07246588244295958,0
2706109,0.11674099309282358,0
2700201,0.01460447146679407,0
2700201,0.016971179980925028,0
2700201,0.010734508884687657,0
2704401,0.032859613923389736,0
2704401,0.04709761729107644,0
2707503,0.05108026976749723,0
2705804,0.007774552813675687,0
2705804,0.008043236109113939,0
2705804,0.004272737550990248,0
2705804,0.007888200629375338,0
2705804,0.001948031024344638,0
2705804,0.011319580230891552,0
2705804,0.016214361887775502,0
2705804,0.026300680794667082,0
2705804,0.009107358038955985,0
2705804,0.020192245835549783,0
2705804,0.02644391697184764,0
2705804,0.03629818259499547,0
2705804,0.027282906270688072,0
2705804,0.028473441970709383,0
2705804,0.01586041362013233,0
2705804,0.016221141432735713,0
2705804,0.007473338095850449,0
2705804,0.02669474538496815,0
2705804,0.02608185200867133,0
2705804,0.01025039035374809,0
2705804,0.02714299201775881,0
2705804,0.01609307271273138,0
