model_base,variant,scale_pos_weight,auc_roc,auc_pr,brier,mean_pred,best_iteration_
LightGBM,unweighted,1.0,0.9186786348198095,0.7102883766630949,0.049100579683678654,0.06965358436015914,2000
LightGBM,weighted,11.199490921432208,0.6617603205991845,0.13808216972266502,0.07503945773288703,0.10359275651019456,1
