threshold,precision,recall,f1,f2
0.05,0.118383029029292,0.9788216128156394,0.21122015526585616,0.3989243980169972
0.06,0.1434010152284264,0.9664675536247624,0.24974565865637607,0.44995449259240533
0.07,0.17802865827181938,0.9462394786858539,0.2996753874927446,0.5079064344531079
0.08,0.22389787346628304,0.919087700244366,0.3600776533787198,0.566992177685466
0.09,0.2829968440620812,0.8886777083898996,0.429288126700987,0.6223025002376651
0.1,0.3540334343094357,0.8567743687211512,0.5010320736741822,0.6672658067244661
0.11,0.43228680221280263,0.816861254412164,0.5653746770025839,0.6934744024156928
0.12,0.5149193184891373,0.7754547922888949,0.6188850967007964,0.7041940971965381
0.13,0.6041133963312951,0.7377138202552267,0.6642625756371859,0.7064666267973686
0.14,0.6831893687707641,0.697936464838447,0.6904841850782352,0.694936332423153
0.15,0.7503450391044318,0.6642682595710019,0.7046878375459062,0.6798666110879533
0.16,0.8091669571279191,0.630328536519142,0.7086385836385837,0.6594795750241462
0.17,0.8549707602339182,0.5954385012218301,0.7019846350832266,0.6339249580852171
0.18,0.8891271713489171,0.5628563670920446,0.689334109236013,0.6074369267735223
0.19,0.9157967988865693,0.5359761064349715,0.6762010790442751,0.5844559585492228
0.2,0.9390913629555666,0.5107249524843878,0.6616250439676398,0.5619958171496863
0.21,0.9550173010380623,0.48710290524029326,0.6451496898318799,0.540019866951627
0.22,0.9695763434745521,0.462937822427369,0.6266654415142884,0.5169643127861495
0.23,0.978391356542617,0.4425739885962531,0.6094597120957188,0.49701183071106236
0.24,0.9818875119161106,0.4194949769209883,0.5878436221820603,0.473766520499218
0.25,0.9866354827931841,0.4008960086885691,0.5701322521478908,0.4549095726653727
0.26,0.9900568181818182,0.3784957914743416,0.5476330779807503,0.4318463444857497
0.27,0.9928193499622071,0.3566386098289438,0.524770275669197,0.4090625973217066
0.28,0.9939734833266372,0.3358674993212055,0.502080162354135,0.38713109880136454
0.29,0.9944985188319933,0.31903339668748304,0.4830917874396135,0.3691833977440538
0.3,0.995980348369808,0.3027423296225903,0.46434148880791254,0.3517017316973158
0.31,0.9962370649106302,0.28753733369535706,0.44627054361567636,0.3352326685660019
0.32,0.998003992015968,0.27151778441487917,0.42689434364994666,0.3177831447820008
0.33,0.9978824775013234,0.2559055118110236,0.4073473797947056,0.300609192102829
0.34,0.9983221476510067,0.24232962259027965,0.3899934454883111,0.28558172276974275
0.35,0.9982100238663485,0.22712462666304642,0.37005087370050876,0.2686255619781631
0.36,0.9987484355444305,0.21667119196307358,0.35609103078982596,0.2569055437512073
0.37,0.9986824769433466,0.2058104805864784,0.34128770823953175,0.24465818862565364
0.38,0.99860529986053,0.1944067336410535,0.32545454545454544,0.23173020907502104
0.39,0.9992647058823529,0.1844963345099104,0.31148292459316984,0.22044510770827924
0.4,0.99921875,0.17363562313331524,0.2958593569280592,0.20800806661462398
0.41,0.9991714995857498,0.16372522400217215,0.28134841945643296,0.19660265397280818
0.42,0.9991126885536823,0.152864512625577,0.26515954315318496,0.1840410578274656
0.43,1.0,0.1436329079554711,0.2511870845204179,0.1733176069720202
0.44,1.0,0.13657344556068424,0.24032489249880554,0.16508040695766327
0.45,1.0,0.1282921531360304,0.22740945734568643,0.15538163043835707
0.46,1.0,0.11960358403475428,0.21365344973929914,0.145163947932114
0.47,1.0,0.11132229161010046,0.20034204739799658,0.13538502179368642
0.48,1.0,0.10467010589193593,0.18950473147351604,0.12750124028443857
0.49,1.0,0.0977464023893565,0.17808558001484046,0.1192684866154254
0.5,1.0,0.09204452891664404,0.16857284932869218,0.1124676531086192
0.51,1.0,0.08498506652185718,0.15665665665665665,0.10402126952475906
0.52,1.0,0.07996198751018192,0.14808296668761786,0.09799354473763018
0.53,1.0,0.07493890849850665,0.13942914877494317,0.09195095948827291
0.54,1.0,0.07073038284007603,0.1321161404843413,0.08687677171919293
0.55,1.0,0.06665761607385284,0.12498409061982946,0.08195626773493575
0.56,1.0,0.06177029595438501,0.116353407492648,0.07603863765500185
0.57,1.0,0.0579690469725767,0.10958552547157706,0.07142618179385098
0.58,1.0,0.05267445017648656,0.10007737941707506,0.06498727053463753
0.59,1.0,0.04928047787130057,0.09393194462414284,0.06085090689643612
0.6,1.0,0.0456149877816997,0.08725006491820306,0.056375838926174496
0.61,1.0,0.04249253326092859,0.08152103138429483,0.05255734291567316
0.62,1.0,0.03855552538691284,0.0742483660130719,0.047734301465644745
0.63,1.0,0.03597610643497149,0.06945354475167081,0.04456927579131487
0.64,1.0,0.03380396415965246,0.06539724228496388,0.04190085147915054
0.65,1.0,0.030817268531088786,0.05979191360463585,0.0382270721767539
0.66,1.0,0.027559055118110236,0.05363984674329502,0.034213098729227766
0.67,1.0,0.024165082812924246,0.047189819724284196,0.030024964577288978
0.68,1.0,0.022264458322020092,0.04355909694555113,0.02767652220872148
0.69,1.0,0.01914200380124898,0.037564939389902754,0.02381354500928897
0.7,1.0,0.017648655986967146,0.03468516542155817,0.02196391160370345
0.71,1.0,0.015340754819440673,0.030217943575344297,0.01910268113737025
0.72,1.0,0.014390442573988596,0.028372591006423982,0.017923571187013865
0.73,1.0,0.01316861254412164,0.025994908213855018,0.016406752139643446
0.74,1.0,0.011811023622047244,0.023346303501945526,0.014720314033366044
0.75,1.0,0.00977464023893565,0.01936004302231783,0.01218851570964247
0.76,1.0,0.008417051316861254,0.01669359181475498,0.010499221025536814
0.77,1.0,0.006923703502579419,0.013752190912767966,0.008639674741656785
0.78,1.0,0.005973391257127342,0.011875843454790824,0.0074556052595906195
0.79,1.0,0.005294596796090144,0.010533423362592843,0.006609497339253635
0.8,1.0,0.004887320119467825,0.009727100783572008,0.006101694915254237
0.81,1.0,0.004208525658430627,0.008381776395836149,0.0052551279877945415
0.82,1.0,0.003937007874015748,0.00784313725490196,0.004916420845624385
0.83,1.0,0.0028509367363562313,0.005685664004331934,0.003561132779379345
0.84,1.0,0.0028509367363562313,0.005685664004331934,0.003561132779379345
0.85,1.0,0.0027151778441487917,0.005415651232060655,0.003391670058336725
0.86,1.0,0.0021721422753190334,0.004334868599295584,0.0027137042062415195
0.87,1.0,0.0010860711376595167,0.0021697857336588013,0.0013572204125950056
0.88,1.0,0.0008145533532446375,0.0016277807921866521,0.0010179843909060061
0.89,1.0,0.0005430355688297583,0.001085481682496608,0.0006787023211619383
0.9,1.0,0.00027151778441487917,0.0005428881650380022,0.00033937419398628925
0.91,1.0,0.00027151778441487917,0.0005428881650380022,0.00033937419398628925
0.92,1.0,0.00027151778441487917,0.0005428881650380022,0.00033937419398628925
0.93,1.0,0.00013575889220743959,0.00027148092846477533,0.00016969285593076533
0.94,1.0,0.00013575889220743959,0.00027148092846477533,0.00016969285593076533
0.95,0.0,0.0,0.0,0.0
