dataset,modelo,threshold,accuracy,precision,recall,f1,auc_roc,auc_pr
validation,RandomForest,0.13,0.9388749791353698,0.6041133963312951,0.7377138202552267,0.6642625756371859,0.9316260177510869,0.7696690776833215
validation,LogisticRegression,0.49,0.08215656818561175,0.08198290446086724,1.0,0.15154195897710207,0.48471312648103015,0.07975297404927087
