threshold,precision,recall,f1
0.13,0.23634781347450867,0.4424382297040456,0.30810683053651616
0.12000000000000001,0.22603443844769983,0.4775997827857725,0.30684692542520714
0.11000000000000001,0.21714318324487816,0.5165625848493076,0.30575756358230544
0.14,0.2448445171849427,0.40619060548465924,0.3055243541305014
0.15000000000000002,0.25367885238315596,0.3721151235405919,0.3016895052556271
0.1,0.20680443548387098,0.5570187347271246,0.3016246416231714
0.09000000000000001,0.19672494896600692,0.6018191691555796,0.2965217391304348
0.16000000000000003,0.2624737945492662,0.3399402660874287,0.296226191884538
0.17000000000000004,0.2732551250148122,0.31306000543035567,0.29180639038279027
0.08000000000000002,0.18561094819159335,0.6444474613087158,0.28821225827995506
0.18000000000000005,0.28448623237071863,0.28753733369535706,0.28600364593882927
0.07,0.1742025817908613,0.6925061091501493,0.2783780833879066
0.19,0.2922186691030912,0.26052131414607654,0.2754611354338621
0.2,0.3049014477585906,0.2373065435786044,0.2668906023360562
0.060000000000000005,0.1618092521248125,0.7469454249253326,0.26599627740578696
0.21000000000000002,0.31643286573146295,0.2143632907955471,0.25558433149886695
0.05,0.1482302538172217,0.807901167526473,0.250499863195336
0.22000000000000003,0.3266203703703704,0.19155579690469726,0.24148553825089852
0.23000000000000004,0.3353920515574651,0.16956285636709204,0.22524797114517583
0.24000000000000005,0.3421544209215442,0.1491990225359761,0.2077897523161278
0.25000000000000006,0.35887242500903505,0.1348085799619875,0.19599328925293596
0.26000000000000006,0.37442348008385745,0.12123269074124356,0.18316070146651625
0.27,0.39170731707317075,0.109014390442574,0.1705607476635514
0.28,0.4088050314465409,0.09706760792831931,0.1568842567196928
0.29000000000000004,0.4305835010060362,0.08715720879717621,0.14497008016258328
0.30000000000000004,0.44166014095536416,0.07656801520499593,0.13051023950017354
0.31000000000000005,0.47130761994355597,0.06801520499592724,0.11887531142484281
0.32000000000000006,0.4878048780487805,0.05973391257127342,0.10643444605708757
0.33,0.48854961832061067,0.0521314146076568,0.09421000981354269
0.34,0.49404761904761907,0.04507195221286994,0.08260761383428714
0.35000000000000003,0.49466192170818507,0.037740972033668205,0.07013118062563067
0.36000000000000004,0.5094339622641509,0.03298941080640782,0.061966084406477114
0.37000000000000005,0.5158924205378973,0.028645126255769753,0.05427652733118971
0.38000000000000006,0.5397727272727273,0.02579418951941352,0.04923555325213786
0.39000000000000007,0.5419354838709678,0.02280749389084985,0.04377279833246483
0.4000000000000001,0.5677655677655677,0.021042628292153136,0.040581227909412224
0.4100000000000001,0.5583333333333333,0.018191691555796904,0.035235340520641596
0.42000000000000004,0.5670103092783505,0.014933478142818354,0.0291005291005291
0.43000000000000005,0.5952380952380952,0.013575889220743959,0.026546323334218212
0.44000000000000006,0.6153846153846154,0.011946782514254684,0.023438540418164868
0.45000000000000007,0.625,0.010181916915557969,0.02003740315255143
0.4600000000000001,0.6153846153846154,0.008688569101276133,0.01713520749665328
0.4700000000000001,0.6235294117647059,0.007195221286994298,0.014226278351899074
0.4800000000000001,0.6533333333333333,0.00665218571816454,0.01317027281279398
0.49000000000000005,0.6981132075471698,0.005023079011675265,0.009974390079525542
0.5000000000000001,0.7142857142857143,0.0040727667662231876,0.008099352051835854
0.5100000000000001,0.7647058823529411,0.0035297311973934292,0.007027027027027027
0.5200000000000001,0.7894736842105263,0.0020363833831115938,0.004062288422477996
0.5300000000000001,0.9230769230769231,0.001629106706489275,0.0032524732348556715
0.5400000000000001,0.8888888888888888,0.0010860711376595167,0.002169491525423729
0.5500000000000002,1.0,0.0006787944610371979,0.00135666802333469
0.5600000000000002,1.0,0.00040727667662231876,0.0008142217397204505
0.5700000000000002,1.0,0.00027151778441487917,0.0005428881650380022
0.8600000000000002,0.0,0.0,0.0
0.7900000000000001,0.0,0.0,0.0
0.8000000000000002,0.0,0.0,0.0
0.8100000000000002,0.0,0.0,0.0
0.8200000000000002,0.0,0.0,0.0
0.8300000000000002,0.0,0.0,0.0
0.8400000000000002,0.0,0.0,0.0
0.8500000000000002,0.0,0.0,0.0
0.8900000000000002,0.0,0.0,0.0
0.8700000000000002,0.0,0.0,0.0
0.8800000000000002,0.0,0.0,0.0
0.7700000000000002,0.0,0.0,0.0
0.9000000000000002,0.0,0.0,0.0
0.9100000000000003,0.0,0.0,0.0
0.9200000000000003,0.0,0.0,0.0
0.9300000000000002,0.0,0.0,0.0
0.9400000000000002,0.0,0.0,0.0
0.7800000000000001,0.0,0.0,0.0
0.7300000000000002,0.0,0.0,0.0
0.7600000000000002,0.0,0.0,0.0
0.6500000000000001,0.0,0.0,0.0
0.5800000000000002,0.0,0.0,0.0
0.5900000000000002,0.0,0.0,0.0
0.6000000000000002,0.0,0.0,0.0
0.6100000000000001,0.0,0.0,0.0
0.6200000000000001,0.0,0.0,0.0
0.6300000000000001,0.0,0.0,0.0
0.6400000000000001,0.0,0.0,0.0
0.6600000000000001,0.0,0.0,0.0
0.7500000000000002,0.0,0.0,0.0
0.6700000000000002,0.0,0.0,0.0
0.6800000000000002,0.0,0.0,0.0
0.6900000000000002,0.0,0.0,0.0
0.7000000000000002,0.0,0.0,0.0
0.7100000000000002,0.0,0.0,0.0
0.7200000000000002,0.0,0.0,0.0
0.7400000000000002,0.0,0.0,0.0
0.9500000000000002,0.0,0.0,0.0
