threshold,precision,recall,f1
0.5300000000000001,0.6766774099033108,0.6270703231061635,0.6509301014656145
0.5400000000000001,0.6921538461538461,0.6107792560412707,0.6489254291071687
0.5200000000000001,0.6576488634778971,0.6402389356502851,0.64882713076976
0.5000000000000001,0.627700127064803,0.6706489275047516,0.6484641638225256
0.5100000000000001,0.6424097027855524,0.6543578604398588,0.6483287376420741
0.5500000000000002,0.7106072874493927,0.5957100190062449,0.6481057528986043
0.5600000000000002,0.7322161422708618,0.5813195764322563,0.6481004994702588
0.5700000000000002,0.7489193083573487,0.5644854737985338,0.6437529029261495
0.49000000000000005,0.6082910321489001,0.6832745044800435,0.6436061381074168
0.4800000000000001,0.5925797902984214,0.6982079826228618,0.6410719850420692
0.5800000000000002,0.7661305581835384,0.5496877545479228,0.6401075013832899
0.4700000000000001,0.5753741197183099,0.7098832473527016,0.63559013005956
0.5900000000000002,0.7829025844930417,0.5346185175128971,0.6353662471765086
0.6000000000000002,0.7992891490696216,0.5190062449090416,0.629352210058441
0.4600000000000001,0.5575528224534847,0.7200651642682596,0.6284732507849992
0.6100000000000001,0.8177415804534448,0.5043442845506381,0.6238978923503233
0.45000000000000007,0.5404699738903395,0.7306543578604399,0.6213345647656431
0.6200000000000001,0.8329471733086191,0.4880532174857453,0.6154768019174799
0.44000000000000006,0.5242383598390497,0.7428726581591094,0.6146933273421703
0.43000000000000005,0.5087430193170375,0.7544121639967418,0.6076876811197988
0.6300000000000001,0.845872899926954,0.4716263915286451,0.6055957465353439
0.42000000000000004,0.49292205522544563,0.7658159109421667,0.5997873471557682
0.6400000000000001,0.8611039794608473,0.45533532446375236,0.5956842198739011
0.4100000000000001,0.47738483404397625,0.77518327450448,0.5908832203652921
0.6500000000000001,0.8785733732643616,0.43809394515340755,0.5846544071020926
0.4000000000000001,0.4611766581632653,0.785365191420038,0.581115017579106
0.39000000000000007,0.4461105191048866,0.7956828672278035,0.5716933281310964
0.6600000000000001,0.8921568627450981,0.4200380124898181,0.5711648513937604
0.38000000000000006,0.4303144745442661,0.8043714363290796,0.560681334279631
0.6700000000000002,0.9046746104491292,0.40198207982622863,0.5566312623366858
0.37000000000000005,0.41735623391975524,0.8148248710290524,0.5519841817262151
0.6800000000000002,0.915483870967742,0.38528373608471356,0.5423275367857825
0.36000000000000004,0.4036977919659484,0.8240564756991583,0.5419159003660388
0.35000000000000003,0.39064491460616874,0.8322020092316047,0.5317026628502038
0.6900000000000002,0.9273225917038053,0.3672278034211241,0.5261110570845084
0.34,0.3765886287625418,0.8407548194406733,0.520179748855571
0.33,0.3627866473149492,0.84835731740429,0.5082347200195193
0.7000000000000002,0.9348380050964689,0.34862883518870486,0.5078611687926431
0.32000000000000006,0.3499252533082332,0.8579961987510182,0.49710937192747867
0.7100000000000002,0.9438677431757017,0.33328808036926416,0.4926256646934885
0.31000000000000005,0.33726153358346983,0.8664132500678794,0.4855262657385218
0.7200000000000002,0.9488220958570268,0.31713277219657887,0.47537647537647537
0.30000000000000004,0.3245467858405292,0.8725224002172143,0.473112738783172
0.29000000000000004,0.31223506743737955,0.8799891392886234,0.4609258337481334
0.7300000000000002,0.9546436285097192,0.30002715177844147,0.456564404503667
0.28,0.3004461616300998,0.8867770838989953,0.44882674270793965
0.27,0.2888986397542782,0.8938365462937823,0.4366626873590662
0.7400000000000002,0.960702727693019,0.2821069780070595,0.4361423024451674
0.26000000000000006,0.27699059561128525,0.8996741786587021,0.423572273177591
0.7500000000000002,0.9627815866797258,0.26690198207982624,0.4179421768707483
0.25000000000000006,0.26602615212884706,0.9059190877002443,0.4112788906009245
0.7600000000000002,0.9686192468619247,0.25142546836817814,0.3992239706833369
0.24000000000000005,0.2543969136502893,0.9131143089872387,0.3979293003993492
0.23000000000000004,0.24372256996906252,0.9197664947054032,0.38533727676032303
0.7700000000000002,0.9720357941834452,0.23594895465653,0.3797247105090671
