threshold,precision,recall,f1
0.5800000000000002,0.2536218250235183,0.3660059733912571,0.2996221382529451
0.5900000000000002,0.2707777777777778,0.33084442030953026,0.2978125381889283
0.5700000000000002,0.23656518595871154,0.3998099375509096,0.2972495584153419
0.5600000000000002,0.2232458266952968,0.43755090958457776,0.295647387974132
0.5500000000000002,0.21223927115799568,0.48072223730654356,0.29446985446985446
0.6000000000000002,0.2895640686922061,0.29758349171870757,0.29351901446170325
0.6100000000000001,0.31321473951715373,0.2677165354330709,0.2886839408578539
0.5400000000000001,0.19991602372329817,0.5171056204181373,0.2883530792232863
0.5300000000000001,0.19029764384576217,0.5581048058647842,0.2838206358521178
0.5200000000000001,0.18084974606713738,0.5946239478685854,0.27734684185531105
0.6200000000000001,0.3324463029842235,0.23744230247081183,0.2770254217153718
0.5100000000000001,0.17154393243443472,0.6286994298126527,0.2695419358593795
0.6300000000000001,0.3546458141674333,0.20934021178387185,0.26327471401741503
0.5000000000000001,0.1632428466617755,0.6645397773554168,0.2621010923109874
0.49000000000000005,0.15622529043245545,0.6973934292696171,0.2552673424766448
0.4800000000000001,0.15000973547328308,0.7321477056747216,0.24900154673684696
0.6400000000000001,0.37350735906692584,0.18259571001900624,0.24528129844077687
0.4700000000000001,0.14430607266658108,0.7629649742058104,0.2427069162833884
0.4600000000000001,0.1382857142857143,0.7884876459408091,0.2353036502856217
0.45000000000000007,0.13309192695605812,0.8133315232147705,0.22875143184421534
0.6500000000000001,0.3964757709251101,0.15883790388270433,0.22681011922070368
0.44000000000000006,0.12821688303569567,0.8353244637523758,0.22231054105320205
0.43000000000000005,0.12399567822414301,0.8569101276133587,0.2166429270134372
0.42000000000000004,0.12003645358677256,0.8761878903068151,0.21114618945577676
0.6600000000000001,0.4246115077698446,0.13725224002172143,0.20744844567559248
0.4100000000000001,0.1162078969714124,0.8918001629106707,0.20562181112467523
0.4000000000000001,0.11293735294615502,0.9057833288080369,0.20083379739024426
0.39000000000000007,0.10957793523908356,0.9174585935378767,0.19577340343863614
0.38000000000000006,0.10684674838004528,0.9289980993755091,0.19165114618196077
0.37000000000000005,0.10453976252621415,0.9406733641053489,0.18816788192322836
0.6700000000000002,0.4587546567323044,0.11702416508281292,0.1864791779340184
0.36000000000000004,0.10220962179224878,0.9494976920988325,0.18455286698155526
0.35000000000000003,0.10024279771117012,0.9584577789845234,0.18150266726653383
0.34,0.09819539514623522,0.9640238935650285,0.17823571491321646
0.33,0.09646041610375575,0.9693184903611186,0.17546015285184183
0.32000000000000006,0.09482234039738603,0.973119739342927,0.17280617164898746
0.31000000000000005,0.09341286307053942,0.9780070594623947,0.17053713041213928
0.6800000000000002,0.49185667752442996,0.1024979636166169,0.1696438602404224
0.30000000000000004,0.09206753743230328,0.980857996198751,0.16833447886208222
0.29000000000000004,0.09087715776796468,0.9834374151506924,0.1663795677438618
0.28,0.08976072056021578,0.9849307629649742,0.16452739477503628
0.27,0.08884981255571431,0.9877816997013305,0.16303483200197183
0.26000000000000006,0.08803573584450078,0.9899538419766495,0.1616923145150561
0.25000000000000006,0.08729181362761392,0.9911756720065165,0.16045272237789132
0.24000000000000005,0.08664431041224775,0.9926690198207982,0.15937748618634
0.23000000000000004,0.08606412759650897,0.9933478142818355,0.1584040526498095
0.22000000000000003,0.08555850039113125,0.9948411620961173,0.15756598398107832
0.21000000000000002,0.08504912480135485,0.995384197664947,0.1567085225754742
0.2,0.08460119870908253,0.9964702688026066,0.1559611584471878
0.19,0.08423080893231945,0.9970133043714363,0.15533816297393052
0.18000000000000005,0.08392510560566274,0.9979636166168884,0.15482960529087156
0.17000000000000004,0.08357106324941752,0.9982351344013033,0.15423016014514793
0.16000000000000003,0.08330407402793037,0.9985066521857182,0.15377860480675748
0.15000000000000002,0.08307087947441498,0.9990496877545479,0.15338759601054683
0.14,0.08287255487111342,0.9990496877545479,0.15304944626423334
0.13,0.0826891096229044,0.9990496877545479,0.1527365559037795
0.12000000000000001,0.08253053259613982,0.9990496877545479,0.15246599608424063
0.11000000000000001,0.08240429818670249,0.9994569644311703,0.15225528922714207
0.1,0.08228548435771049,0.9994569644311703,0.15205246037073372
0.09000000000000001,0.08223368388148347,1.0,0.15197029090158862
0.08000000000000002,0.08215205826260553,1.0,0.15183089591771531
0.07,0.08208431304812953,1.0,0.1517151890260857
0.060000000000000005,0.08203129350186536,1.0,0.15162462304834246
0.6900000000000002,0.5270816491511722,0.08851479771925061,0.1515750319655934
0.05,0.082000244909773,1.0,0.15157158290035497
0.7000000000000002,0.5506329113924051,0.07086614173228346,0.12557132547510225
0.7100000000000002,0.5767634854771784,0.05661145805050231,0.1031029793546792
0.7200000000000002,0.6090225563909775,0.043985881075210426,0.08204608761711826
0.7300000000000002,0.6510416666666666,0.033939723051859896,0.06451612903225806
0.7400000000000002,0.7021276595744681,0.026880260657073038,0.05177824267782427
0.7500000000000002,0.7547169811320755,0.021721422753190334,0.0422275006598047
0.7600000000000002,0.8129032258064516,0.017105620418137388,0.033506182688472275
0.7700000000000002,0.8608695652173913,0.013440130328536519,0.02646704985964443
0.7800000000000001,0.8875,0.00963888134672821,0.0190706419554123
0.7900000000000001,0.8793103448275862,0.006923703502579419,0.013739224137931034
0.8000000000000002,0.9,0.004887320119467825,0.009721847150958682
0.8100000000000002,0.875,0.0038012489818083084,0.007569613409029468
0.8200000000000002,0.9523809523809523,0.0027151778441487917,0.005414918099363747
