group,mean_abs_shap,percentage
Territorial,1.4632720821821412,45.82070311448771
Socioeconomic,0.7111193752634877,22.267895471850018
Temporal,0.5594461885483996,17.51842191629889
Other,0.45963600831897106,14.392979497363378
Administrative,0.0,0.0
